# Source: Arcturus5404/miniature-paints (MIT, 2022 Rick Fleuren)
# https://github.com/Arcturus5404/miniature-paints
# Normalized via scripts/build_paint_db.py.
# Hex values are community-derived from vendor swatches; spot-check
# before trusting individual rows. Edit this file directly to correct.
# category=solid is the only category included in the optimizer.
name,brand,line,sku,hex,category,notes
Rust Tone,army_painter,army_painter_fanatic_wash,null,#452A11,wash,
Sepia Tone,army_painter,army_painter_fanatic_wash,null,#734014,wash,
Strong Skin Shade,army_painter,army_painter_fanatic_wash,null,#442824,wash,
Strong Tone,army_painter,army_painter_fanatic_wash,null,#211913,wash,
True Blood,army_painter,army_painter_fanatic_wash,null,#8D0422,wash,
Verdigris,army_painter,army_painter_fanatic_wash,null,#61B89B,wash,
Wash Medium,army_painter,army_painter_fanatic_wash,null,#B1B3B4,exclude,
Elven Armour,army_painter,army_painter_metallic,null,#003D81,metallic,
Aegis Suit Satin Varnish,army_painter,army_painter_primer,CP3027,#F4F7F7,exclude,
Anti-Shine Matt Varnish,army_painter,army_painter_primer,CP3003,#F0F0F0,exclude,
Blue Tone,army_painter,army_painter_quickshade,null,#0D2540,wash,
Dark Tone,army_painter,army_painter_quickshade,null,#0C060E,wash,
Green Tone,army_painter,army_painter_quickshade,null,#0F2B18,wash,
Light Tone,army_painter,army_painter_quickshade,null,#AB3B2C,wash,
Soft Tone,army_painter,army_painter_quickshade,null,#49251E,wash,
Garment Pigment Toner,army_painter,army_painter_skintones,null,#752330,solid,
Obsidian Pigment Toner,army_painter,army_painter_skintones,null,#1F2224,solid,
Pearl Pigment Toner,army_painter,army_painter_skintones,null,#EBE4E1,solid,
Tiger's Eye Skin,army_painter,army_painter_skintones,null,#7F4841,solid,
Dark Skin Wash,army_painter,army_painter_skintones_wash,null,#332123,wash,
Soft Skin Wash,army_painter,army_painter_skintones_wash,null,#6B412B,wash,
Strong Skin Wash,army_painter,army_painter_skintones_wash,null,#382A22,wash,
Absolution Green,army_painter,army_painter_speedpaint,null,#22311F,contrast,
Aged Hide,army_painter,army_painter_speedpaint,null,#D56C4F,contrast,
Algae Green,army_painter,army_painter_speedpaint,null,#9CAA53,contrast,
Ancient Honey,army_painter,army_painter_speedpaint,null,#EBBD21,contrast,
Ashen Stone,army_painter,army_painter_speedpaint,null,#B3B9B9,contrast,
Aztec Gold,army_painter,army_painter_speedpaint,null,#62732F,contrast,
Battleship Grey,army_painter,army_painter_speedpaint,null,#B7C6C9,contrast,
Beowulf Blue,army_painter,army_painter_speedpaint,null,#0C3F80,contrast,
Blinding Light,army_painter,army_painter_speedpaint,null,#F5F4EF,contrast,
Blood Red,army_painter,army_painter_speedpaint,null,#DB3016,contrast,
Bony Matter,army_painter,army_painter_speedpaint,null,#B69471,contrast,
Brazen Copper,army_painter,army_painter_speedpaint,null,#6A3D37,contrast,
